"order_line","order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit"
290,"CA-2016-110772","2016-11-20","2016-11-24","Second Class","NZ-18565","OFF-FA-10002983","19.096",7,"0.2","6.6836"
291,"CA-2016-110772","2016-11-20","2016-11-24","Second Class","NZ-18565","OFF-LA-10004689","18.496",8,"0.2","6.2424"
292,"CA-2016-110772","2016-11-20","2016-11-24","Second Class","NZ-18565","TEC-AC-10002001","255.984",2,"0.2","54.3966"
293,"CA-2016-110772","2016-11-20","2016-11-24","Second Class","NZ-18565","FUR-BO-10004709","86.97",3,"0.5","-48.7032"
299,"CA-2016-142545","2016-10-28","2016-11-03","Standard Class","JD-15895","OFF-PA-10002105","32.4",5,"0","15.552"
300,"CA-2016-142545","2016-10-28","2016-11-03","Standard Class","JD-15895","OFF-ST-10002756","1082.48",8,"0","10.8248"
301,"CA-2016-142545","2016-10-28","2016-11-03","Standard Class","JD-15895","OFF-PA-10004243","56.91",3,"0","27.3168"
302,"CA-2016-142545","2016-10-28","2016-11-03","Standard Class","JD-15895","FUR-FU-10001861","77.6",4,"0","38.024"
303,"CA-2016-142545","2016-10-28","2016-11-03","Standard Class","JD-15895","OFF-BI-10002706","14.28",1,"0","6.5688"
310,"CA-2016-142902","2016-09-12","2016-09-14","Second Class","BP-11185","FUR-FU-10001918","15.136",4,"0.2","3.5948"
311,"CA-2016-142902","2016-09-12","2016-09-14","Second Class","BP-11185","FUR-CH-10004086","466.768",2,"0.2","52.5114"
312,"CA-2016-142902","2016-09-12","2016-09-14","Second Class","BP-11185","FUR-FU-10001756","15.232",1,"0.2","1.7136"
313,"CA-2016-142902","2016-09-12","2016-09-14","Second Class","BP-11185","OFF-LA-10000634","6.264",3,"0.2","2.0358"
324,"CA-2016-162138","2016-04-23","2016-04-27","Standard Class","GK-14620","OFF-BI-10004593","251.52",6,"0.2","81.744"
325,"CA-2016-162138","2016-04-23","2016-04-27","Standard Class","GK-14620","TEC-AC-10001908","99.99",1,"0","34.9965"
327,"US-2016-141544","2016-08-30","2016-09-01","First Class","PO-18850","TEC-PH-10003645","290.898",3,"0.4","-67.8762"
328,"US-2016-141544","2016-08-30","2016-09-01","First Class","PO-18850","OFF-ST-10000675","54.224",2,"0.2","3.389"
329,"US-2016-141544","2016-08-30","2016-09-01","First Class","PO-18850","FUR-CH-10003312","786.744",4,"0.3","-258.5016"
330,"US-2016-141544","2016-08-30","2016-09-01","First Class","PO-18850","OFF-LA-10001074","100.24",10,"0.2","33.831"
331,"US-2016-141544","2016-08-30","2016-09-01","First Class","PO-18850","OFF-BI-10001524","37.764",6,"0.7","-27.6936"
332,"US-2016-150147","2016-04-25","2016-04-29","Second Class","JL-15850","TEC-PH-10004614","82.8",2,"0.4","-20.7"
333,"US-2016-150147","2016-04-25","2016-04-29","Second Class","JL-15850","OFF-BI-10001153","20.724",2,"0.7","-13.816"
334,"US-2016-150147","2016-04-25","2016-04-29","Second Class","JL-15850","OFF-BI-10001982","4.896",3,"0.7","-3.4272"
350,"CA-2016-129714","2016-09-01","2016-09-03","First Class","AB-10060","TEC-AC-10000290","6.79",1,"0","2.3086"
351,"CA-2016-129714","2016-09-01","2016-09-03","First Class","AB-10060","OFF-PA-10001970","24.56",2,"0","11.5432"
352,"CA-2016-129714","2016-09-01","2016-09-03","First Class","AB-10060","OFF-BI-10002160","3.048",1,"0.2","1.0668"
353,"CA-2016-129714","2016-09-01","2016-09-03","First Class","AB-10060","OFF-PA-10001970","49.12",4,"0","23.0864"
354,"CA-2016-129714","2016-09-01","2016-09-03","First Class","AB-10060","OFF-BI-10004995","4355.168",4,"0.2","1415.4296"
355,"CA-2016-138520","2016-04-08","2016-04-13","Standard Class","JL-15505","FUR-BO-10002268","388.704",6,"0.2","-4.8588"
356,"CA-2016-138520","2016-04-08","2016-04-13","Standard Class","JL-15505","OFF-EN-10001137","8.26",2,"0","3.7996"
357,"CA-2016-138520","2016-04-08","2016-04-13","Standard Class","JL-15505","OFF-AR-10002399","17.04",4,"0","6.9864"
358,"CA-2016-138520","2016-04-08","2016-04-13","Standard Class","JL-15505","OFF-PA-10002713","34.4",5,"0","15.824"
359,"CA-2016-130001","2016-04-23","2016-04-28","Standard Class","HK-14890","OFF-PA-10002666","36.24",5,"0.2","11.325"
367,"CA-2016-155516","2016-10-21","2016-10-21","Same Day","MK-17905","OFF-BI-10002412","23.2",4,"0","10.44"
368,"CA-2016-155516","2016-10-21","2016-10-21","Same Day","MK-17905","OFF-SU-10001225","7.36",2,"0","0.1472"
369,"CA-2016-155516","2016-10-21","2016-10-21","Same Day","MK-17905","OFF-ST-10002406","104.79",7,"0","29.3412"
370,"CA-2016-155516","2016-10-21","2016-10-21","Same Day","MK-17905","FUR-BO-10002545","1043.92",4,"0","271.4192"
377,"US-2016-134656","2016-09-28","2016-10-01","First Class","MM-18280","OFF-PA-10003039","99.136",4,"0.2","30.98"
382,"CA-2016-134775","2016-10-28","2016-10-29","First Class","AS-10285","OFF-PA-10004734","50.96",7,"0","25.48"
383,"CA-2016-134775","2016-10-28","2016-10-29","First Class","AS-10285","OFF-BI-10002225","49.536",3,"0.2","17.3376"
399,"CA-2016-108987","2016-09-08","2016-09-10","Second Class","AG-10675","OFF-ST-10001580","35.952",3,"0.2","3.5952"
400,"CA-2016-108987","2016-09-08","2016-09-10","Second Class","AG-10675","FUR-BO-10004834","2396.2656",4,"0.32","-317.1528"
401,"CA-2016-108987","2016-09-08","2016-09-10","Second Class","AG-10675","OFF-ST-10000934","131.136",4,"0.2","-32.784"
402,"CA-2016-108987","2016-09-08","2016-09-10","Second Class","AG-10675","TEC-AC-10000158","57.584",2,"0.2","0.7198"
418,"CA-2016-148796","2016-04-14","2016-04-18","Standard Class","PB-19150","FUR-CH-10004886","383.8",5,"0.2","38.38"
430,"US-2016-123750","2016-04-15","2016-04-21","Standard Class","RB-19795","OFF-BI-10004584","189.588",2,"0.7","-145.3508"
431,"US-2016-123750","2016-04-15","2016-04-21","Standard Class","RB-19795","TEC-AC-10004659","408.744",7,"0.2","76.6395"
432,"US-2016-123750","2016-04-15","2016-04-21","Standard Class","RB-19795","TEC-AC-10004659","291.96",5,"0.2","54.7425"
433,"US-2016-123750","2016-04-15","2016-04-21","Standard Class","RB-19795","OFF-ST-10000617","4.768",2,"0.2","-0.7748"
434,"CA-2016-127369","2016-06-06","2016-06-07","First Class","DB-13060","OFF-ST-10003306","714.3",5,"0","207.147"
437,"CA-2016-147375","2016-06-12","2016-06-14","Second Class","PO-19180","TEC-MA-10002937","1007.979",3,"0.3","43.1991"
438,"CA-2016-147375","2016-06-12","2016-06-14","Second Class","PO-19180","OFF-PA-10001970","313.488",7,"0.2","113.6394"
441,"CA-2016-115756","2016-09-05","2016-09-07","Second Class","PK-19075","FUR-FU-10000246","12.22",1,"0","3.666"
442,"CA-2016-115756","2016-09-05","2016-09-07","Second Class","PK-19075","OFF-ST-10000060","194.94",3,"0","23.3928"
443,"CA-2016-115756","2016-09-05","2016-09-07","Second Class","PK-19075","OFF-ST-10003058","70.95",3,"0","20.5755"
444,"CA-2016-115756","2016-09-05","2016-09-07","Second Class","PK-19075","OFF-PA-10002222","91.36",4,"0","42.0256"
445,"CA-2016-115756","2016-09-05","2016-09-07","Second Class","PK-19075","FUR-CH-10002372","242.94",3,"0","29.1528"
446,"CA-2016-115756","2016-09-05","2016-09-07","Second Class","PK-19075","OFF-LA-10001317","22.05",7,"0","10.584"
448,"CA-2016-166674","2016-04-01","2016-04-03","Second Class","RB-19360","OFF-AR-10000588","59.52",3,"0","15.4752"
449,"CA-2016-166674","2016-04-01","2016-04-03","Second Class","RB-19360","OFF-ST-10001469","161.94",3,"0","9.7164"
450,"CA-2016-166674","2016-04-01","2016-04-03","Second Class","RB-19360","OFF-AR-10001953","263.88",6,"0","71.2476"
451,"CA-2016-166674","2016-04-01","2016-04-03","Second Class","RB-19360","OFF-AR-10003156","30.48",3,"0","7.9248"
452,"CA-2016-166674","2016-04-01","2016-04-03","Second Class","RB-19360","OFF-AR-10004974","9.84",3,"0","2.8536"
453,"CA-2016-166674","2016-04-01","2016-04-03","Second Class","RB-19360","TEC-PH-10002365","35.12",4,"0","9.1312"
456,"CA-2016-100153","2016-12-13","2016-12-17","Standard Class","KH-16630","TEC-AC-10001772","63.88",4,"0","24.9132"
458,"US-2016-157945","2016-09-26","2016-10-01","Standard Class","NF-18385","FUR-CH-10002331","747.558",3,"0.3","-96.1146"
459,"US-2016-157945","2016-09-26","2016-10-01","Standard Class","NF-18385","OFF-EN-10001415","8.928",2,"0.2","3.348"
463,"CA-2016-109869","2016-04-22","2016-04-29","Standard Class","TN-21040","FUR-FU-10000023","23.56",5,"0.2","7.068"
464,"CA-2016-109869","2016-04-22","2016-04-29","Standard Class","TN-21040","FUR-TA-10001889","1272.63",6,"0.5","-814.4832"
465,"CA-2016-109869","2016-04-22","2016-04-29","Standard Class","TN-21040","OFF-BI-10000315","28.485",5,"0.7","-20.889"
466,"CA-2016-109869","2016-04-22","2016-04-29","Standard Class","TN-21040","OFF-SU-10003505","185.376",2,"0.2","-34.758"
467,"CA-2016-109869","2016-04-22","2016-04-29","Standard Class","TN-21040","OFF-AP-10002578","78.272",2,"0.2","5.8704"
470,"US-2016-100419","2016-12-16","2016-12-20","Second Class","CC-12670","OFF-BI-10002194","4.788",3,"0.8","-7.9002"
478,"CA-2016-103891","2016-07-12","2016-07-19","Standard Class","KH-16690","TEC-PH-10000149","95.76",6,"0.2","7.182"
479,"CA-2016-152632","2016-10-27","2016-11-02","Standard Class","JE-15475","FUR-FU-10002671","40.2",3,"0","19.296"
480,"CA-2016-100790","2016-06-26","2016-07-02","Standard Class","JG-15805","OFF-AR-10003045","14.7",5,"0","6.615"
481,"CA-2016-100790","2016-06-26","2016-07-02","Standard Class","JG-15805","OFF-ST-10000689","704.25",5,"0","84.51"
494,"CA-2016-169166","2016-05-09","2016-05-14","Standard Class","SS-20590","TEC-AC-10000991","93.98",2,"0","13.1572"
495,"US-2016-120929","2016-03-18","2016-03-21","Second Class","RO-19780","FUR-TA-10001857","189.882",3,"0.4","-94.941"
497,"CA-2016-126158","2016-07-25","2016-07-31","Standard Class","SC-20095","OFF-BI-10002498","119.616",8,"0.2","40.3704"
498,"CA-2016-126158","2016-07-25","2016-07-31","Standard Class","SC-20095","FUR-FU-10004864","255.76",4,"0","81.8432"
499,"CA-2016-126158","2016-07-25","2016-07-31","Standard Class","SC-20095","FUR-CH-10002602","241.568",2,"0.2","18.1176"
500,"CA-2016-126158","2016-07-25","2016-07-31","Standard Class","SC-20095","FUR-FU-10000073","69.3",9,"0","22.869"
501,"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","OFF-BI-10001670","22.62",2,"0.7","-15.08"
502,"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","OFF-BI-10001658","14.952",2,"0.7","-11.9616"
503,"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","FUR-CH-10001215","801.568",2,"0.2","50.098"
504,"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","OFF-BI-10000831","2.376",3,"0.7","-1.9008"
505,"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","OFF-PA-10000357","32.792",1,"0.2","11.8871"
513,"CA-2016-106341","2016-10-20","2016-10-23","First Class","LF-17185","OFF-AR-10002053","7.152",3,"0.2","0.7152"
524,"US-2016-139486","2016-05-21","2016-05-23","First Class","LH-17155","TEC-PH-10003555","55.176",3,"0.2","-12.4146"
525,"US-2016-139486","2016-05-21","2016-05-23","First Class","LH-17155","TEC-AC-10003832","66.26",2,"0","27.1666"
534,"CA-2016-168753","2016-05-29","2016-06-01","Second Class","RL-19615","TEC-PH-10000984","979.95",5,"0","274.386"
535,"CA-2016-168753","2016-05-29","2016-06-01","Second Class","RL-19615","OFF-BI-10002557","22.75",5,"0","11.375"
536,"CA-2016-126613","2016-07-10","2016-07-16","Standard Class","AA-10375","OFF-ST-10001325","16.768",2,"0.2","1.4672"
542,"CA-2016-136924","2016-07-14","2016-07-17","First Class","ES-14080","TEC-PH-10002262","380.864",8,"0.2","38.0864"
552,"CA-2016-136406","2016-04-15","2016-04-17","Second Class","BD-11320","FUR-CH-10002024","1121.568",2,"0.2","0"
557,"CA-2016-113243","2016-06-10","2016-06-15","Standard Class","OT-18730","OFF-LA-10001297","20.7",2,"0","9.936"
558,"CA-2016-113243","2016-06-10","2016-06-15","Standard Class","OT-18730","FUR-TA-10004256","1335.68",4,"0.2","-217.048"
559,"CA-2016-113243","2016-06-10","2016-06-15","Standard Class","OT-18730","OFF-PA-10003441","32.4",5,"0","15.552"
575,"CA-2016-127250","2016-11-03","2016-11-07","Standard Class","SF-20200","OFF-AR-10003394","8.82",3,"0","2.3814"
589,"US-2016-156986","2016-03-20","2016-03-24","Standard Class","ZC-21910","TEC-PH-10003800","84.784",2,"0.2","-20.1362"
590,"US-2016-156986","2016-03-20","2016-03-24","Standard Class","ZC-21910","OFF-PA-10002005","20.736",4,"0.2","7.2576"
591,"US-2016-156986","2016-03-20","2016-03-24","Standard Class","ZC-21910","OFF-BI-10002498","16.821",3,"0.7","-12.8961"
592,"US-2016-156986","2016-03-20","2016-03-24","Standard Class","ZC-21910","OFF-PA-10004101","10.368",2,"0.2","3.6288"
599,"CA-2016-120180","2016-07-14","2016-07-16","First Class","TP-21130","OFF-SU-10004115","11.632",2,"0.2","1.0178"
600,"US-2016-100720","2016-07-16","2016-07-21","Standard Class","CK-12205","TEC-PH-10001425","143.982",3,"0.4","-28.7964"
601,"US-2016-100720","2016-07-16","2016-07-21","Standard Class","CK-12205","TEC-PH-10003963","494.376",4,"0.4","-115.3544"
602,"US-2016-100720","2016-07-16","2016-07-21","Standard Class","CK-12205","OFF-SU-10001574","5.84",2,"0.2","0.73"
611,"CA-2016-161816","2016-04-28","2016-05-01","First Class","NB-18655","TEC-PH-10003012","369.576",3,"0.2","41.5773"
612,"CA-2016-161816","2016-04-28","2016-05-01","First Class","NB-18655","OFF-LA-10004345","15.712",4,"0.2","5.6956"
613,"CA-2016-121223","2016-09-11","2016-09-13","Second Class","GD-14590","OFF-PA-10001204","8.448",2,"0.2","2.64"
614,"CA-2016-121223","2016-09-11","2016-09-13","Second Class","GD-14590","TEC-PH-10004667","728.946",9,"0.4","-157.9383"
631,"US-2016-135720","2016-12-11","2016-12-13","Second Class","FM-14380","OFF-ST-10001963","243.384",3,"0.2","-51.7191"
632,"US-2016-135720","2016-12-11","2016-12-13","Second Class","FM-14380","TEC-AC-10001267","119.8",5,"0.2","29.95"
633,"US-2016-135720","2016-12-11","2016-12-13","Second Class","FM-14380","TEC-PH-10002103","300.768",4,"0.2","30.0768"
637,"US-2016-123470","2016-08-15","2016-08-21","Standard Class","ME-17725","OFF-BI-10001989","18.882",3,"0.7","-13.8468"
638,"US-2016-123470","2016-08-15","2016-08-21","Standard Class","ME-17725","OFF-AP-10003287","122.328",3,"0.2","12.2328"
639,"CA-2016-115917","2016-05-20","2016-05-25","Standard Class","RB-19465","FUR-FU-10000576","1049.2",5,"0","272.792"
640,"CA-2016-115917","2016-05-20","2016-05-25","Standard Class","RB-19465","OFF-BI-10004728","15.424",4,"0.2","5.0128"
641,"CA-2016-147067","2016-12-18","2016-12-22","Standard Class","JD-16150","FUR-FU-10000732","18.84",3,"0","6.0288"
647,"CA-2016-103947","2016-04-01","2016-04-08","Standard Class","BB-10990","OFF-FA-10003112","31.56",5,"0.2","9.8625"
648,"CA-2016-103947","2016-04-01","2016-04-08","Standard Class","BB-10990","OFF-AP-10002350","30.144",2,"0.2","3.0144"
649,"CA-2016-160745","2016-12-11","2016-12-16","Second Class","AR-10825","FUR-FU-10001935","14.8",4,"0","6.068"
650,"CA-2016-160745","2016-12-11","2016-12-16","Second Class","AR-10825","TEC-PH-10003273","302.376",3,"0.2","22.6782"
651,"CA-2016-160745","2016-12-11","2016-12-16","Second Class","AR-10825","TEC-AC-10001142","316",4,"0","31.6"
652,"CA-2016-132661","2016-10-23","2016-10-29","Standard Class","SR-20740","OFF-PA-10000482","379.4",10,"0","178.318"
655,"CA-2016-137239","2016-08-22","2016-08-28","Standard Class","CR-12730","OFF-AP-10002439","113.552",2,"0.2","8.5164"
656,"CA-2016-137239","2016-08-22","2016-08-28","Standard Class","CR-12730","OFF-BI-10002827","3.318",2,"0.7","-2.6544"
657,"CA-2016-137239","2016-08-22","2016-08-28","Standard Class","CR-12730","OFF-EN-10002230","134.288",2,"0.2","45.3222"
